freq,age,statinfo,geo,TIME_PERIOD,values
A,TOTAL,GINI_HND,AT,2014,27.6
A,TOTAL,GINI_HND,AT,2015,27.2
A,TOTAL,GINI_HND,AT,2016,27.2
A,TOTAL,GINI_HND,AT,2017,27.9
A,TOTAL,GINI_HND,AT,2018,26.8
A,TOTAL,GINI_HND,AT,2019,27.5
A,TOTAL,GINI_HND,AT,2020,27
A,TOTAL,GINI_HND,AT,2021,26.7
A,TOTAL,GINI_HND,AT,2022,27.8
A,TOTAL,GINI_HND,AT,2023,28.1
A,TOTAL,GINI_HND,BE,2014,25.9
A,TOTAL,GINI_HND,BE,2015,26.2
A,TOTAL,GINI_HND,BE,2016,26.3
A,TOTAL,GINI_HND,BE,2017,26.1
A,TOTAL,GINI_HND,BE,2018,25.7
A,TOTAL,GINI_HND,BE,2019,25.1
A,TOTAL,GINI_HND,BE,2020,25.4
A,TOTAL,GINI_HND,BE,2021,24.1
A,TOTAL,GINI_HND,BE,2022,24.9
A,TOTAL,GINI_HND,BE,2023,24.2
A,TOTAL,GINI_HND,BG,2014,35.4
A,TOTAL,GINI_HND,BG,2015,37
A,TOTAL,GINI_HND,BG,2016,37.7
A,TOTAL,GINI_HND,BG,2017,40.2
A,TOTAL,GINI_HND,BG,2018,39.6
A,TOTAL,GINI_HND,BG,2019,40.8
A,TOTAL,GINI_HND,BG,2020,40
A,TOTAL,GINI_HND,BG,2021,39.7
A,TOTAL,GINI_HND,BG,2022,38.4
A,TOTAL,GINI_HND,BG,2023,37.2
A,TOTAL,GINI_HND,CH,2014,29.5
A,TOTAL,GINI_HND,CH,2015,29.6
A,TOTAL,GINI_HND,CH,2016,29.4
A,TOTAL,GINI_HND,CH,2017,30.1
A,TOTAL,GINI_HND,CH,2018,29.7
A,TOTAL,GINI_HND,CH,2019,30.6
A,TOTAL,GINI_HND,CH,2020,31.2
A,TOTAL,GINI_HND,CH,2021,31.4
A,TOTAL,GINI_HND,CH,2022,31.1
A,TOTAL,GINI_HND,CY,2014,34.8
A,TOTAL,GINI_HND,CY,2015,33.6
A,TOTAL,GINI_HND,CY,2016,32.1
A,TOTAL,GINI_HND,CY,2017,30.8
A,TOTAL,GINI_HND,CY,2018,29.1
A,TOTAL,GINI_HND,CY,2019,31.1
A,TOTAL,GINI_HND,CY,2020,29.3
A,TOTAL,GINI_HND,CY,2021,29.4
A,TOTAL,GINI_HND,CY,2022,29.4
A,TOTAL,GINI_HND,CY,2023,29.6
A,TOTAL,GINI_HND,CZ,2014,25.1
A,TOTAL,GINI_HND,CZ,2015,25
A,TOTAL,GINI_HND,CZ,2016,25.1
A,TOTAL,GINI_HND,CZ,2017,24.5
A,TOTAL,GINI_HND,CZ,2018,24
A,TOTAL,GINI_HND,CZ,2019,24
A,TOTAL,GINI_HND,CZ,2020,24.2
A,TOTAL,GINI_HND,CZ,2021,24.8
A,TOTAL,GINI_HND,CZ,2022,24.8
A,TOTAL,GINI_HND,CZ,2023,24.4
A,TOTAL,GINI_HND,DE,2014,30.7
A,TOTAL,GINI_HND,DE,2015,30.1
A,TOTAL,GINI_HND,DE,2016,29.5
A,TOTAL,GINI_HND,DE,2017,29.1
A,TOTAL,GINI_HND,DE,2018,31.1
A,TOTAL,GINI_HND,DE,2019,29.7
A,TOTAL,GINI_HND,DE,2020,30.5
A,TOTAL,GINI_HND,DE,2021,31.2
A,TOTAL,GINI_HND,DE,2022,29
A,TOTAL,GINI_HND,DE,2023,29.4
A,TOTAL,GINI_HND,DK,2014,27.7
A,TOTAL,GINI_HND,DK,2015,27.4
A,TOTAL,GINI_HND,DK,2016,27.7
A,TOTAL,GINI_HND,DK,2017,27.6
A,TOTAL,GINI_HND,DK,2018,27.8
A,TOTAL,GINI_HND,DK,2019,27.5
A,TOTAL,GINI_HND,DK,2020,27.3
A,TOTAL,GINI_HND,DK,2021,27
A,TOTAL,GINI_HND,DK,2022,27.7
A,TOTAL,GINI_HND,DK,2023,28.2
A,TOTAL,GINI_HND,EA20,2014,31
A,TOTAL,GINI_HND,EA20,2015,30.7
A,TOTAL,GINI_HND,EA20,2016,30.7
A,TOTAL,GINI_HND,EA20,2017,30.4
A,TOTAL,GINI_HND,EA20,2018,30.6
A,TOTAL,GINI_HND,EA20,2019,30.2
A,TOTAL,GINI_HND,EA20,2020,30.2
A,TOTAL,GINI_HND,EA20,2021,30.6
A,TOTAL,GINI_HND,EA20,2022,29.9
A,TOTAL,GINI_HND,EA20,2023,29.8
A,TOTAL,GINI_HND,EE,2014,35.6
A,TOTAL,GINI_HND,EE,2015,34.8
A,TOTAL,GINI_HND,EE,2016,32.7
A,TOTAL,GINI_HND,EE,2017,31.6
A,TOTAL,GINI_HND,EE,2018,30.6
A,TOTAL,GINI_HND,EE,2019,30.5
A,TOTAL,GINI_HND,EE,2020,30.5
A,TOTAL,GINI_HND,EE,2021,30.6
A,TOTAL,GINI_HND,EE,2022,31.9
A,TOTAL,GINI_HND,EE,2023,31.8
A,TOTAL,GINI_HND,EL,2014,34.5
A,TOTAL,GINI_HND,EL,2015,34.2
A,TOTAL,GINI_HND,EL,2016,34.3
A,TOTAL,GINI_HND,EL,2017,33.4
A,TOTAL,GINI_HND,EL,2018,32.3
A,TOTAL,GINI_HND,EL,2019,31
A,TOTAL,GINI_HND,EL,2020,31.4
A,TOTAL,GINI_HND,EL,2021,32.4
A,TOTAL,GINI_HND,EL,2022,31.4
A,TOTAL,GINI_HND,EL,2023,31.8
A,TOTAL,GINI_HND,ES,2014,34.7
A,TOTAL,GINI_HND,ES,2015,34.6
A,TOTAL,GINI_HND,ES,2016,34.5
A,TOTAL,GINI_HND,ES,2017,34.1
A,TOTAL,GINI_HND,ES,2018,33.2
A,TOTAL,GINI_HND,ES,2019,33
A,TOTAL,GINI_HND,ES,2020,32.1
A,TOTAL,GINI_HND,ES,2021,33
A,TOTAL,GINI_HND,ES,2022,32
A,TOTAL,GINI_HND,ES,2023,31.5
A,TOTAL,GINI_HND,EU27_2020,2014,30.9
A,TOTAL,GINI_HND,EU27_2020,2015,30.8
A,TOTAL,GINI_HND,EU27_2020,2016,30.6
A,TOTAL,GINI_HND,EU27_2020,2017,30.3
A,TOTAL,GINI_HND,EU27_2020,2018,30.4
A,TOTAL,GINI_HND,EU27_2020,2019,30.2
A,TOTAL,GINI_HND,EU27_2020,2020,30
A,TOTAL,GINI_HND,EU27_2020,2021,30.2
A,TOTAL,GINI_HND,EU27_2020,2022,29.6
A,TOTAL,GINI_HND,EU27_2020,2023,29.6
A,TOTAL,GINI_HND,FI,2014,25.6
A,TOTAL,GINI_HND,FI,2015,25.2
A,TOTAL,GINI_HND,FI,2016,25.4
A,TOTAL,GINI_HND,FI,2017,25.3
A,TOTAL,GINI_HND,FI,2018,25.9
A,TOTAL,GINI_HND,FI,2019,26.2
A,TOTAL,GINI_HND,FI,2020,26.5
A,TOTAL,GINI_HND,FI,2021,25.7
A,TOTAL,GINI_HND,FI,2022,26.6
A,TOTAL,GINI_HND,FI,2023,26.6
A,TOTAL,GINI_HND,FR,2014,29.2
A,TOTAL,GINI_HND,FR,2015,29.2
A,TOTAL,GINI_HND,FR,2016,29.3
A,TOTAL,GINI_HND,FR,2017,28.8
A,TOTAL,GINI_HND,FR,2018,28.5
A,TOTAL,GINI_HND,FR,2019,29.2
A,TOTAL,GINI_HND,FR,2020,29.2
A,TOTAL,GINI_HND,FR,2021,29.3
A,TOTAL,GINI_HND,FR,2022,29.8
A,TOTAL,GINI_HND,FR,2023,29.7
A,TOTAL,GINI_HND,HR,2014,30.2
A,TOTAL,GINI_HND,HR,2015,30.4
A,TOTAL,GINI_HND,HR,2016,29.8
A,TOTAL,GINI_HND,HR,2017,29.9
A,TOTAL,GINI_HND,HR,2018,29.7
A,TOTAL,GINI_HND,HR,2019,29.2
A,TOTAL,GINI_HND,HR,2020,28.3
A,TOTAL,GINI_HND,HR,2021,29.2
A,TOTAL,GINI_HND,HR,2022,28.5
A,TOTAL,GINI_HND,HR,2023,29.7
A,TOTAL,GINI_HND,HU,2014,28.6
A,TOTAL,GINI_HND,HU,2015,28.2
A,TOTAL,GINI_HND,HU,2016,28.2
A,TOTAL,GINI_HND,HU,2017,28.1
A,TOTAL,GINI_HND,HU,2018,28.7
A,TOTAL,GINI_HND,HU,2019,28
A,TOTAL,GINI_HND,HU,2020,28
A,TOTAL,GINI_HND,HU,2021,27.6
A,TOTAL,GINI_HND,HU,2022,27.4
A,TOTAL,GINI_HND,HU,2023,29
A,TOTAL,GINI_HND,IE,2014,31
A,TOTAL,GINI_HND,IE,2015,29.7
A,TOTAL,GINI_HND,IE,2016,29.6
A,TOTAL,GINI_HND,IE,2017,30.6
A,TOTAL,GINI_HND,IE,2018,28.9
A,TOTAL,GINI_HND,IE,2019,28
A,TOTAL,GINI_HND,IE,2020,27.6
A,TOTAL,GINI_HND,IE,2021,26.6
A,TOTAL,GINI_HND,IE,2022,26.9
A,TOTAL,GINI_HND,IE,2023,27.4
A,TOTAL,GINI_HND,IS,2014,22.7
A,TOTAL,GINI_HND,IS,2015,24.7
A,TOTAL,GINI_HND,IS,2016,24.1
A,TOTAL,GINI_HND,IS,2017,25.2
A,TOTAL,GINI_HND,IS,2018,23.2
A,TOTAL,GINI_HND,IS,2019,23.7
A,TOTAL,GINI_HND,IS,2020,24
A,TOTAL,GINI_HND,IT,2014,32.4
A,TOTAL,GINI_HND,IT,2015,32.4
A,TOTAL,GINI_HND,IT,2016,33.1
A,TOTAL,GINI_HND,IT,2017,32.7
A,TOTAL,GINI_HND,IT,2018,33.4
A,TOTAL,GINI_HND,IT,2019,32.8
A,TOTAL,GINI_HND,IT,2020,32.5
A,TOTAL,GINI_HND,IT,2021,32.9
A,TOTAL,GINI_HND,IT,2022,32.7
A,TOTAL,GINI_HND,IT,2023,31.5
A,TOTAL,GINI_HND,LT,2014,35
A,TOTAL,GINI_HND,LT,2015,37.9
A,TOTAL,GINI_HND,LT,2016,37
A,TOTAL,GINI_HND,LT,2017,37.6
A,TOTAL,GINI_HND,LT,2018,36.9
A,TOTAL,GINI_HND,LT,2019,35.4
A,TOTAL,GINI_HND,LT,2020,35.1
A,TOTAL,GINI_HND,LT,2021,35.4
A,TOTAL,GINI_HND,LT,2022,36.2
A,TOTAL,GINI_HND,LT,2023,35.7
A,TOTAL,GINI_HND,LU,2014,28.7
A,TOTAL,GINI_HND,LU,2015,28.5
A,TOTAL,GINI_HND,LU,2016,29.6
A,TOTAL,GINI_HND,LU,2017,29.2
A,TOTAL,GINI_HND,LU,2018,31.3
A,TOTAL,GINI_HND,LU,2019,32.3
A,TOTAL,GINI_HND,LU,2020,31.2
A,TOTAL,GINI_HND,LU,2021,29.6
A,TOTAL,GINI_HND,LU,2022,29.1
A,TOTAL,GINI_HND,LU,2023,30.6
A,TOTAL,GINI_HND,LV,2014,35.5
A,TOTAL,GINI_HND,LV,2015,35.4
A,TOTAL,GINI_HND,LV,2016,34.5
A,TOTAL,GINI_HND,LV,2017,34.5
A,TOTAL,GINI_HND,LV,2018,35.6
A,TOTAL,GINI_HND,LV,2019,35.2
A,TOTAL,GINI_HND,LV,2020,34.5
A,TOTAL,GINI_HND,LV,2021,35.7
A,TOTAL,GINI_HND,LV,2022,34.3
A,TOTAL,GINI_HND,LV,2023,34
A,TOTAL,GINI_HND,MK,2014,35.2
A,TOTAL,GINI_HND,MK,2015,33.7
A,TOTAL,GINI_HND,MK,2016,33.6
A,TOTAL,GINI_HND,MK,2017,32.4
A,TOTAL,GINI_HND,MK,2018,31.9
A,TOTAL,GINI_HND,MK,2019,30.7
A,TOTAL,GINI_HND,MK,2020,31.4
A,TOTAL,GINI_HND,MT,2014,27.7
A,TOTAL,GINI_HND,MT,2015,28.1
A,TOTAL,GINI_HND,MT,2016,28.6
A,TOTAL,GINI_HND,MT,2017,28.2
A,TOTAL,GINI_HND,MT,2018,28.7
A,TOTAL,GINI_HND,MT,2019,28
A,TOTAL,GINI_HND,MT,2020,30.3
A,TOTAL,GINI_HND,MT,2021,31.2
A,TOTAL,GINI_HND,MT,2022,31.1
A,TOTAL,GINI_HND,MT,2023,33
A,TOTAL,GINI_HND,NL,2014,26.2
A,TOTAL,GINI_HND,NL,2015,26.7
A,TOTAL,GINI_HND,NL,2016,26.9
A,TOTAL,GINI_HND,NL,2017,27.1
A,TOTAL,GINI_HND,NL,2018,27.4
A,TOTAL,GINI_HND,NL,2019,26.8
A,TOTAL,GINI_HND,NL,2020,28.2
A,TOTAL,GINI_HND,NL,2021,26.4
A,TOTAL,GINI_HND,NL,2022,26.3
A,TOTAL,GINI_HND,NL,2023,26.4
A,TOTAL,GINI_HND,NO,2014,23.5
A,TOTAL,GINI_HND,NO,2015,23.9
A,TOTAL,GINI_HND,NO,2016,25
A,TOTAL,GINI_HND,NO,2017,26.1
A,TOTAL,GINI_HND,NO,2018,24.8
A,TOTAL,GINI_HND,NO,2019,25.4
A,TOTAL,GINI_HND,NO,2020,25.3
A,TOTAL,GINI_HND,NO,2021,25.9
A,TOTAL,GINI_HND,NO,2022,27.5
A,TOTAL,GINI_HND,NO,2023,24.7
A,TOTAL,GINI_HND,PL,2014,30.8
A,TOTAL,GINI_HND,PL,2015,30.6
A,TOTAL,GINI_HND,PL,2016,29.8
A,TOTAL,GINI_HND,PL,2017,29.2
A,TOTAL,GINI_HND,PL,2018,27.8
A,TOTAL,GINI_HND,PL,2019,28.5
A,TOTAL,GINI_HND,PL,2020,27.2
A,TOTAL,GINI_HND,PL,2021,26.8
A,TOTAL,GINI_HND,PL,2022,26.3
A,TOTAL,GINI_HND,PL,2023,27
A,TOTAL,GINI_HND,PT,2014,34.5
A,TOTAL,GINI_HND,PT,2015,34
A,TOTAL,GINI_HND,PT,2016,33.9
A,TOTAL,GINI_HND,PT,2017,33.5
A,TOTAL,GINI_HND,PT,2018,32.1
A,TOTAL,GINI_HND,PT,2019,31.9
A,TOTAL,GINI_HND,PT,2020,31.2
A,TOTAL,GINI_HND,PT,2021,33
A,TOTAL,GINI_HND,PT,2022,32
A,TOTAL,GINI_HND,PT,2023,33.7
A,TOTAL,GINI_HND,RO,2014,35
A,TOTAL,GINI_HND,RO,2015,37.4
A,TOTAL,GINI_HND,RO,2016,34.7
A,TOTAL,GINI_HND,RO,2017,33.1
A,TOTAL,GINI_HND,RO,2018,35.1
A,TOTAL,GINI_HND,RO,2019,34.8
A,TOTAL,GINI_HND,RO,2020,33.8
A,TOTAL,GINI_HND,RO,2021,34.3
A,TOTAL,GINI_HND,RO,2022,32
A,TOTAL,GINI_HND,RO,2023,31
A,TOTAL,GINI_HND,RS,2014,38.3
A,TOTAL,GINI_HND,RS,2015,40
A,TOTAL,GINI_HND,RS,2016,39.8
A,TOTAL,GINI_HND,RS,2017,37.8
A,TOTAL,GINI_HND,RS,2018,35.6
A,TOTAL,GINI_HND,RS,2019,33.3
A,TOTAL,GINI_HND,RS,2020,33.3
A,TOTAL,GINI_HND,RS,2021,33.3
A,TOTAL,GINI_HND,RS,2022,32
A,TOTAL,GINI_HND,SE,2014,26.9
A,TOTAL,GINI_HND,SE,2015,26.7
A,TOTAL,GINI_HND,SE,2016,27.6
A,TOTAL,GINI_HND,SE,2017,28
A,TOTAL,GINI_HND,SE,2018,27
A,TOTAL,GINI_HND,SE,2019,27.6
A,TOTAL,GINI_HND,SE,2020,26.9
A,TOTAL,GINI_HND,SE,2021,26.8
A,TOTAL,GINI_HND,SE,2022,27.6
A,TOTAL,GINI_HND,SE,2023,29.5
A,TOTAL,GINI_HND,SI,2014,25
A,TOTAL,GINI_HND,SI,2015,24.5
A,TOTAL,GINI_HND,SI,2016,24.4
A,TOTAL,GINI_HND,SI,2017,23.7
A,TOTAL,GINI_HND,SI,2018,23.4
A,TOTAL,GINI_HND,SI,2019,23.9
A,TOTAL,GINI_HND,SI,2020,23.5
A,TOTAL,GINI_HND,SI,2021,23
A,TOTAL,GINI_HND,SI,2022,23.1
A,TOTAL,GINI_HND,SI,2023,23.4
A,TOTAL,GINI_HND,SK,2014,26.1
A,TOTAL,GINI_HND,SK,2015,23.7
A,TOTAL,GINI_HND,SK,2016,24.3
A,TOTAL,GINI_HND,SK,2017,23.2
A,TOTAL,GINI_HND,SK,2018,20.9
A,TOTAL,GINI_HND,SK,2019,22.8
A,TOTAL,GINI_HND,SK,2020,20.9
A,TOTAL,GINI_HND,SK,2021,21.8
A,TOTAL,GINI_HND,SK,2022,21.2
A,TOTAL,GINI_HND,SK,2023,21.6
A,TOTAL,GINI_HND,TR,2014,41.2
A,TOTAL,GINI_HND,TR,2015,41.9
A,TOTAL,GINI_HND,TR,2016,42.6
A,TOTAL,GINI_HND,TR,2017,43
A,TOTAL,GINI_HND,TR,2018,43
A,TOTAL,GINI_HND,TR,2019,41.7
A,TOTAL,GINI_HND,TR,2020,43.4
A,TOTAL,GINI_HND,TR,2021,42.5
A,TOTAL,GINI_HND,TR,2022,45.3
A,TOTAL,GINI_HND,UK,2014,31.6
A,TOTAL,GINI_HND,UK,2015,32.4
A,TOTAL,GINI_HND,UK,2016,31.5
A,TOTAL,GINI_HND,UK,2017,33.1
A,TOTAL,GINI_HND,UK,2018,33.5
