country,quarter,top5share
AT,2010-Q4,51.93
AT,2011-Q1,51.76
AT,2011-Q2,52.02
AT,2011-Q3,51.48
AT,2011-Q4,51.56
AT,2012-Q1,51.25
AT,2012-Q2,51.24
AT,2012-Q3,51.45
AT,2012-Q4,51.65
AT,2013-Q1,51.52
AT,2013-Q2,51.3
AT,2013-Q3,51.23
AT,2013-Q4,51.79
AT,2014-Q1,51.38
AT,2014-Q2,51.09
AT,2014-Q3,51.07
AT,2014-Q4,51.18
AT,2015-Q1,51.43
AT,2015-Q2,51.65
AT,2015-Q3,51.75
AT,2015-Q4,51.94
AT,2016-Q1,51.98
AT,2016-Q2,52.14
AT,2016-Q3,52.55
AT,2016-Q4,52.89
AT,2017-Q1,53.08
AT,2017-Q2,52.92
AT,2017-Q3,53.14
AT,2017-Q4,53.75
AT,2018-Q1,53.48
AT,2018-Q2,53.5
AT,2018-Q3,53.53
AT,2018-Q4,53.62
AT,2019-Q1,53.69
AT,2019-Q2,53.62
AT,2019-Q3,53.74
AT,2019-Q4,53.63
AT,2020-Q1,53.2
AT,2020-Q2,53.26
AT,2020-Q3,53.05
AT,2020-Q4,53.49
AT,2021-Q1,53.45
AT,2021-Q2,53.46
AT,2021-Q3,53.48
AT,2021-Q4,53.78
AT,2022-Q1,53.55
AT,2022-Q2,53.2
AT,2022-Q3,53.3
AT,2022-Q4,53.69
AT,2023-Q1,53.99
AT,2023-Q2,54.15
AT,2023-Q3,54.28
AT,2023-Q4,54.57
BE,2010-Q3,49.12
BE,2010-Q4,49.31
BE,2011-Q1,49.26
BE,2011-Q2,49.25
BE,2011-Q3,48.85
BE,2011-Q4,49.11
BE,2012-Q1,49.2
BE,2012-Q2,48.93
BE,2012-Q3,48.7
BE,2012-Q4,48.57
BE,2013-Q1,48.68
BE,2013-Q2,48.3
BE,2013-Q3,48.21
BE,2013-Q4,48.36
BE,2014-Q1,48.41
BE,2014-Q2,48.59
BE,2014-Q3,48.34
BE,2014-Q4,48.71
BE,2015-Q1,48.98
BE,2015-Q2,48.71
BE,2015-Q3,48.2
BE,2015-Q4,48.52
BE,2016-Q1,48.7
BE,2016-Q2,48.64
BE,2016-Q3,48.45
BE,2016-Q4,48.15
BE,2017-Q1,47.81
BE,2017-Q2,47.69
BE,2017-Q3,47.52
BE,2017-Q4,47.48
BE,2018-Q1,47
BE,2018-Q2,46.86
BE,2018-Q3,46.4
BE,2018-Q4,46.08
BE,2019-Q1,46.38
BE,2019-Q2,46.16
BE,2019-Q3,46.02
BE,2019-Q4,45.86
BE,2020-Q1,45.04
BE,2020-Q2,45.13
BE,2020-Q3,44.99
BE,2020-Q4,44.97
BE,2021-Q1,45.01
BE,2021-Q2,45.01
BE,2021-Q3,44.76
BE,2021-Q4,44.83
BE,2022-Q1,44.51
BE,2022-Q2,44.06
BE,2022-Q3,43.62
BE,2022-Q4,43.95
BE,2023-Q1,44.05
BE,2023-Q2,44.21
BE,2023-Q3,44.41
BE,2023-Q4,44.73
CY,2010-Q3,37.23
CY,2010-Q4,36.86
CY,2011-Q1,36.51
CY,2011-Q2,36.26
CY,2011-Q3,35.95
CY,2011-Q4,35.67
CY,2012-Q1,35.36
CY,2012-Q2,35.01
CY,2012-Q3,34.61
CY,2012-Q4,34.26
CY,2013-Q1,33.69
CY,2013-Q2,33.07
CY,2013-Q3,32.59
CY,2013-Q4,32.04
CY,2014-Q1,31.32
CY,2014-Q2,30.86
CY,2014-Q3,31.18
CY,2014-Q4,31.48
CY,2015-Q1,31.86
CY,2015-Q2,32.17
CY,2015-Q3,32.45
CY,2015-Q4,32.74
CY,2016-Q1,33.05
CY,2016-Q2,33.29
CY,2016-Q3,33.53
CY,2016-Q4,33.86
CY,2017-Q1,34.13
CY,2017-Q2,34.37
CY,2017-Q3,34.02
CY,2017-Q4,33.67
CY,2018-Q1,33.34
CY,2018-Q2,33.03
CY,2018-Q3,32.76
CY,2018-Q4,32.48
CY,2019-Q1,32.28
CY,2019-Q2,31.97
CY,2019-Q3,31.59
CY,2019-Q4,31.29
CY,2020-Q1,31
CY,2020-Q2,30.6
CY,2020-Q3,30.28
CY,2020-Q4,29.96
CY,2021-Q1,29.72
CY,2021-Q2,29.38
CY,2021-Q3,29.34
CY,2021-Q4,29.37
CY,2022-Q1,29.32
CY,2022-Q2,29.21
CY,2022-Q3,29.15
CY,2022-Q4,29.02
CY,2023-Q1,29.1
CY,2023-Q2,29.06
CY,2023-Q3,29.17
CY,2023-Q4,29.18
DE,2011-Q1,46.51
DE,2011-Q2,46.73
DE,2011-Q3,46.66
DE,2011-Q4,46.98
DE,2012-Q1,47.35
DE,2012-Q2,47.45
DE,2012-Q3,47.75
DE,2012-Q4,48.02
DE,2013-Q1,48.25
DE,2013-Q2,48.31
DE,2013-Q3,48.58
DE,2013-Q4,48.93
DE,2014-Q1,49.15
DE,2014-Q2,49.36
DE,2014-Q3,49.52
DE,2014-Q4,49.14
DE,2015-Q1,49.14
DE,2015-Q2,48.52
DE,2015-Q3,47.99
DE,2015-Q4,47.82
DE,2016-Q1,47.33
DE,2016-Q2,46.89
DE,2016-Q3,46.61
DE,2016-Q4,46.27
DE,2017-Q1,46.08
DE,2017-Q2,45.57
DE,2017-Q3,45.86
DE,2017-Q4,46.01
DE,2018-Q1,45.97
DE,2018-Q2,46.05
DE,2018-Q3,46.22
DE,2018-Q4,45.91
DE,2019-Q1,46.34
DE,2019-Q2,46.55
DE,2019-Q3,46.71
DE,2019-Q4,46.86
DE,2020-Q1,46.52
DE,2020-Q2,47.11
DE,2020-Q3,47.3
DE,2020-Q4,47.61
DE,2021-Q1,47.91
DE,2021-Q2,48.05
DE,2021-Q3,48.11
DE,2021-Q4,48.26
DE,2022-Q1,47.95
DE,2022-Q2,47.52
DE,2022-Q3,47.39
DE,2022-Q4,47.54
DE,2023-Q1,47.98
DE,2023-Q2,48.1
DE,2023-Q3,48.11
DE,2023-Q4,48.29
EE,2013-Q2,46.02
EE,2013-Q3,46.27
EE,2013-Q4,46.26
EE,2014-Q1,46.18
EE,2014-Q2,46.44
EE,2014-Q3,46.56
EE,2014-Q4,46.34
EE,2015-Q1,45.35
EE,2015-Q2,45.47
EE,2015-Q3,45.6
EE,2015-Q4,45.24
EE,2016-Q1,45.77
EE,2016-Q2,45.99
EE,2016-Q3,46.13
EE,2016-Q4,46.09
EE,2017-Q1,46.67
EE,2017-Q2,47.22
EE,2017-Q3,47
EE,2017-Q4,46.66
EE,2018-Q1,46.51
EE,2018-Q2,46.24
EE,2018-Q3,46.62
EE,2018-Q4,45.93
EE,2019-Q1,45.81
EE,2019-Q2,46.26
EE,2019-Q3,46.48
EE,2019-Q4,46.36
EE,2020-Q1,46.44
EE,2020-Q2,46.97
EE,2020-Q3,47.91
EE,2020-Q4,47.36
EE,2021-Q1,45.77
EE,2021-Q2,45.51
EE,2021-Q3,46.23
EE,2021-Q4,45.49
EE,2022-Q1,45.5
EE,2022-Q2,45.78
EE,2022-Q3,45.69
EE,2022-Q4,45.7
EE,2023-Q1,45.66
EE,2023-Q2,45.06
EE,2023-Q3,45.51
EE,2023-Q4,44.87
ES,2011-Q4,36.39
ES,2012-Q1,37.13
ES,2012-Q2,37.44
ES,2012-Q3,38.23
ES,2012-Q4,38.62
ES,2013-Q1,39.62
ES,2013-Q2,39.72
ES,2013-Q3,40.07
ES,2013-Q4,40.6
ES,2014-Q1,41.08
ES,2014-Q2,41.29
ES,2014-Q3,41.5
ES,2014-Q4,41.48
ES,2015-Q1,42.17
ES,2015-Q2,41.7
ES,2015-Q3,41.4
ES,2015-Q4,42.41
ES,2016-Q1,42.04
ES,2016-Q2,41.79
ES,2016-Q3,41.99
ES,2016-Q4,42.06
ES,2017-Q1,42.31
ES,2017-Q2,42.22
ES,2017-Q3,42.08
ES,2017-Q4,41.91
ES,2018-Q1,41.85
ES,2018-Q2,41.7
ES,2018-Q3,41.57
ES,2018-Q4,41.46
ES,2019-Q1,41.53
ES,2019-Q2,41.5
ES,2019-Q3,41.46
ES,2019-Q4,41.68
ES,2020-Q1,41.32
ES,2020-Q2,41.49
ES,2020-Q3,41.44
ES,2020-Q4,41.88
ES,2021-Q1,41.96
ES,2021-Q2,41.89
ES,2021-Q3,41.72
ES,2021-Q4,41.48
ES,2022-Q1,41.18
ES,2022-Q2,40.97
ES,2022-Q3,40.78
ES,2022-Q4,41.04
ES,2023-Q1,41.24
ES,2023-Q2,41.26
ES,2023-Q3,41.15
ES,2023-Q4,41.37
FI,2009-Q4,43.42
FI,2010-Q1,43.48
FI,2010-Q2,43.34
FI,2010-Q3,43.98
FI,2010-Q4,44.14
FI,2011-Q1,43.83
FI,2011-Q2,43.26
FI,2011-Q3,42.88
FI,2011-Q4,42.87
FI,2012-Q1,42.85
FI,2012-Q2,42.45
FI,2012-Q3,42.29
FI,2012-Q4,42.33
FI,2013-Q1,42.54
FI,2013-Q2,42.46
FI,2013-Q3,42.59
FI,2013-Q4,42.61
FI,2014-Q1,42.87
FI,2014-Q2,43.1
FI,2014-Q3,43.39
FI,2014-Q4,43.6
FI,2015-Q1,43.99
FI,2015-Q2,43.84
FI,2015-Q3,43.7
FI,2015-Q4,44.01
FI,2016-Q1,44.22
FI,2016-Q2,44.19
FI,2016-Q3,44.33
FI,2016-Q4,44.64
FI,2017-Q1,44.87
FI,2017-Q2,44.97
FI,2017-Q3,45.26
FI,2017-Q4,45.52
FI,2018-Q1,45.53
FI,2018-Q2,45.55
FI,2018-Q3,45.84
FI,2018-Q4,45.65
FI,2019-Q1,46
FI,2019-Q2,46.04
FI,2019-Q3,46.09
FI,2019-Q4,46.36
FI,2020-Q1,45.82
FI,2020-Q2,45.95
FI,2020-Q3,46.13
FI,2020-Q4,46.35
FI,2021-Q1,46.5
FI,2021-Q2,46.5
FI,2021-Q3,46.4
FI,2021-Q4,46.42
FI,2022-Q1,45.66
FI,2022-Q2,45
FI,2022-Q3,44.8
FI,2022-Q4,45.12
FI,2023-Q1,45.59
FI,2023-Q2,45.63
FI,2023-Q3,46.02
FI,2023-Q4,46.45
FR,2009-Q4,39.41
FR,2010-Q1,39.46
FR,2010-Q2,39.21
FR,2010-Q3,39.2
FR,2010-Q4,39.23
FR,2011-Q1,39.35
FR,2011-Q2,39.24
FR,2011-Q3,38.61
FR,2011-Q4,38.73
FR,2012-Q1,39.05
FR,2012-Q2,38.91
FR,2012-Q3,38.93
FR,2012-Q4,39.18
FR,2013-Q1,39.3
FR,2013-Q2,39.16
FR,2013-Q3,39.24
FR,2013-Q4,39.36
FR,2014-Q1,39.52
FR,2014-Q2,39.51
FR,2014-Q3,39.41
FR,2014-Q4,39.59
FR,2015-Q1,40.13
FR,2015-Q2,39.96
FR,2015-Q3,39.66
FR,2015-Q4,39.91
FR,2016-Q1,39.76
FR,2016-Q2,39.55
FR,2016-Q3,39.6
FR,2016-Q4,40.02
FR,2017-Q1,40.04
FR,2017-Q2,40.02
FR,2017-Q3,39.89
FR,2017-Q4,39.95
FR,2018-Q1,39.92
FR,2018-Q2,39.98
FR,2018-Q3,39.93
FR,2018-Q4,39.7
FR,2019-Q1,40.16
FR,2019-Q2,40.36
FR,2019-Q3,40.45
FR,2019-Q4,40.61
FR,2020-Q1,39.71
FR,2020-Q2,40.08
FR,2020-Q3,40.04
FR,2020-Q4,40.47
FR,2021-Q1,40.67
FR,2021-Q2,40.81
FR,2021-Q3,40.55
FR,2021-Q4,40.85
FR,2022-Q1,40.42
FR,2022-Q2,39.9
FR,2022-Q3,39.68
FR,2022-Q4,40.08
FR,2023-Q1,40.53
FR,2023-Q2,40.62
FR,2023-Q3,40.34
FR,2023-Q4,40.81
GR,2009-Q3,32.91
GR,2009-Q4,32.25
GR,2010-Q1,32.06
GR,2010-Q2,31.64
GR,2010-Q3,31.92
GR,2010-Q4,31.27
GR,2011-Q1,31.21
GR,2011-Q2,30.89
GR,2011-Q3,30.64
GR,2011-Q4,30.32
GR,2012-Q1,30.55
GR,2012-Q2,30.55
GR,2012-Q3,30.63
GR,2012-Q4,30.65
GR,2013-Q1,30.22
GR,2013-Q2,30.38
GR,2013-Q3,30.71
GR,2013-Q4,30.75
GR,2014-Q1,31.22
GR,2014-Q2,31.03
GR,2014-Q3,30.57
GR,2014-Q4,30.45
GR,2015-Q1,31.22
GR,2015-Q2,31.43
GR,2015-Q3,31.4
GR,2015-Q4,31.33
GR,2016-Q1,31.11
GR,2016-Q2,31.12
GR,2016-Q3,31.42
GR,2016-Q4,31.43
GR,2017-Q1,31.57
GR,2017-Q2,31.83
GR,2017-Q3,31.84
GR,2017-Q4,32.01
GR,2018-Q1,32.06
GR,2018-Q2,31.96
GR,2018-Q3,31.91
GR,2018-Q4,31.8
GR,2019-Q1,31.99
GR,2019-Q2,32.21
GR,2019-Q3,32.21
GR,2019-Q4,32.42
GR,2020-Q1,31.55
GR,2020-Q2,31.8
GR,2020-Q3,31.82
GR,2020-Q4,32.31
GR,2021-Q1,32.43
GR,2021-Q2,32.58
GR,2021-Q3,32.58
GR,2021-Q4,32.72
GR,2022-Q1,32.42
GR,2022-Q2,31.91
GR,2022-Q3,31.63
GR,2022-Q4,31.73
GR,2023-Q1,31.64
GR,2023-Q2,31.9
GR,2023-Q3,31.79
GR,2023-Q4,32
HU,2014-Q3,45.32
HU,2014-Q4,45.82
HU,2015-Q1,46.12
HU,2015-Q2,45.86
HU,2015-Q3,46.06
HU,2015-Q4,46.65
HU,2016-Q1,46.65
HU,2016-Q2,46.56
HU,2016-Q3,46.8
HU,2016-Q4,47.27
HU,2017-Q1,47.42
HU,2017-Q2,47.35
HU,2017-Q3,47.7
HU,2017-Q4,48.24
HU,2018-Q1,47.23
HU,2018-Q2,46.17
HU,2018-Q3,45.39
HU,2018-Q4,44.73
HU,2019-Q1,43.4
HU,2019-Q2,42.27
HU,2019-Q3,41.73
HU,2019-Q4,41.37
HU,2020-Q1,40.39
HU,2020-Q2,39.9
HU,2020-Q3,39.12
HU,2020-Q4,38.92
HU,2021-Q1,38.67
HU,2021-Q2,38.52
HU,2021-Q3,38.7
HU,2021-Q4,38.88
HU,2022-Q1,38.37
HU,2022-Q2,38
HU,2022-Q3,38.1
HU,2022-Q4,38.75
HU,2023-Q1,38.94
HU,2023-Q2,39.19
HU,2023-Q3,39.6
HU,2023-Q4,40.2
IE,2013-Q2,43.79
IE,2013-Q3,43.05
IE,2013-Q4,42.2
IE,2014-Q1,42.26
IE,2014-Q2,41.4
IE,2014-Q3,40.82
IE,2014-Q4,41.63
IE,2015-Q1,42.18
IE,2015-Q2,42
IE,2015-Q3,41.48
IE,2015-Q4,42.13
IE,2016-Q1,42.22
IE,2016-Q2,41.96
IE,2016-Q3,41.49
IE,2016-Q4,41.3
IE,2017-Q1,41.2
IE,2017-Q2,40.82
IE,2017-Q3,40.24
IE,2017-Q4,40.08
IE,2018-Q1,40.06
IE,2018-Q2,40.28
IE,2018-Q3,40.61
IE,2018-Q4,40.11
IE,2019-Q1,39.95
IE,2019-Q2,39.15
IE,2019-Q3,38.45
IE,2019-Q4,38.1
IE,2020-Q1,37.72
IE,2020-Q2,37.44
IE,2020-Q3,37
IE,2020-Q4,36.58
IE,2021-Q1,36.66
IE,2021-Q2,36.44
IE,2021-Q3,35.99
IE,2021-Q4,35.71
IE,2022-Q1,35.22
IE,2022-Q2,34.74
IE,2022-Q3,34.67
IE,2022-Q4,34.73
IE,2023-Q1,35.17
IE,2023-Q2,35.44
IE,2023-Q3,35.22
IE,2023-Q4,35.38
IT,2010-Q4,40.26
IT,2011-Q1,40.56
IT,2011-Q2,40.4
IT,2011-Q3,40.15
IT,2011-Q4,40.33
IT,2012-Q1,40.9
IT,2012-Q2,40.92
IT,2012-Q3,41.56
IT,2012-Q4,42.05
IT,2013-Q1,41.9
IT,2013-Q2,42.12
IT,2013-Q3,42.49
IT,2013-Q4,43.25
IT,2014-Q1,43.9
IT,2014-Q2,44.3
IT,2014-Q3,44.57
IT,2014-Q4,44.5
IT,2015-Q1,46.05
IT,2015-Q2,46.32
IT,2015-Q3,46.48
IT,2015-Q4,46.73
IT,2016-Q1,46.69
IT,2016-Q2,47
IT,2016-Q3,47.58
IT,2016-Q4,48.08
IT,2017-Q1,48.43
IT,2017-Q2,48.29
IT,2017-Q3,48.31
IT,2017-Q4,48.11
IT,2018-Q1,48
IT,2018-Q2,47.6
IT,2018-Q3,47.32
IT,2018-Q4,46.4
IT,2019-Q1,46.63
IT,2019-Q2,46.35
IT,2019-Q3,46.56
IT,2019-Q4,46.57
IT,2020-Q1,45.33
IT,2020-Q2,45.66
IT,2020-Q3,45.58
IT,2020-Q4,45.81
IT,2021-Q1,46.58
IT,2021-Q2,46.84
IT,2021-Q3,46.86
IT,2021-Q4,47.33
IT,2022-Q1,47.03
IT,2022-Q2,46.61
IT,2022-Q3,46.02
IT,2022-Q4,46.19
IT,2023-Q1,46.76
IT,2023-Q2,46.67
IT,2023-Q3,46.33
IT,2023-Q4,46.9
LT,2016-Q4,43.73
LT,2017-Q1,44.72
LT,2017-Q2,44.96
LT,2017-Q3,45.39
LT,2017-Q4,45.73
LT,2018-Q1,45.8
LT,2018-Q2,45.99
LT,2018-Q3,46.38
LT,2018-Q4,46.53
LT,2019-Q1,47.31
LT,2019-Q2,47.26
LT,2019-Q3,48.15
LT,2019-Q4,48.28
LT,2020-Q1,48.44
LT,2020-Q2,49.54
LT,2020-Q3,49.78
LT,2020-Q4,50.62
LT,2021-Q1,50.51
LT,2021-Q2,50.54
LT,2021-Q3,50.68
LT,2021-Q4,51.04
LT,2022-Q1,50.51
LT,2022-Q2,50.46
LT,2022-Q3,50.5
LT,2022-Q4,50.86
LT,2023-Q1,52.05
LT,2023-Q2,52.27
LT,2023-Q3,51.95
LT,2023-Q4,51.91
LU,2010-Q4,50.67
LU,2011-Q1,50.48
LU,2011-Q2,49.78
LU,2011-Q3,49.38
LU,2011-Q4,48.92
LU,2012-Q1,48.93
LU,2012-Q2,48.72
LU,2012-Q3,48.57
LU,2012-Q4,48.13
LU,2013-Q1,47.7
LU,2013-Q2,47.26
LU,2013-Q3,46.9
LU,2013-Q4,46.55
LU,2014-Q1,46.44
LU,2014-Q2,46.03
LU,2014-Q3,45.87
LU,2014-Q4,45.74
LU,2015-Q1,45.86
LU,2015-Q2,45.41
LU,2015-Q3,45.22
LU,2015-Q4,45.26
LU,2016-Q1,44.97
LU,2016-Q2,44.81
LU,2016-Q3,44.76
LU,2016-Q4,44.59
LU,2017-Q1,44.56
LU,2017-Q2,44.36
LU,2017-Q3,44.29
LU,2017-Q4,44.19
LU,2018-Q1,43.92
LU,2018-Q2,43.79
LU,2018-Q3,43.95
LU,2018-Q4,43.32
LU,2019-Q1,43.33
LU,2019-Q2,42.87
LU,2019-Q3,42.61
LU,2019-Q4,42.29
LU,2020-Q1,41.65
LU,2020-Q2,41.42
LU,2020-Q3,41.17
LU,2020-Q4,41
LU,2021-Q1,40.72
LU,2021-Q2,40.62
LU,2021-Q3,40.38
LU,2021-Q4,40.18
LU,2022-Q1,40.03
LU,2022-Q2,39.9
LU,2022-Q3,39.88
LU,2022-Q4,40.11
LU,2023-Q1,40.4
LU,2023-Q2,40.75
LU,2023-Q3,41.26
LU,2023-Q4,41.65
LV,2017-Q3,48.48
LV,2017-Q4,49.02
LV,2018-Q1,49.56
LV,2018-Q2,50.13
LV,2018-Q3,50.28
LV,2018-Q4,50.81
LV,2019-Q1,51.01
LV,2019-Q2,50.74
LV,2019-Q3,50.98
LV,2019-Q4,51.33
LV,2020-Q1,51.29
LV,2020-Q2,51.71
LV,2020-Q3,51.34
LV,2020-Q4,52.28
LV,2021-Q1,52.17
LV,2021-Q2,51.84
LV,2021-Q3,51.78
LV,2021-Q4,52.12
LV,2022-Q1,52.13
LV,2022-Q2,52.73
LV,2022-Q3,52.79
LV,2022-Q4,53.05
LV,2023-Q1,52.69
LV,2023-Q2,53.15
LV,2023-Q3,52.63
LV,2023-Q4,53.09
MT,2010-Q4,26.62
MT,2011-Q1,26.69
MT,2011-Q2,26.69
MT,2011-Q3,26.74
MT,2011-Q4,27.03
MT,2012-Q1,27.42
MT,2012-Q2,27.37
MT,2012-Q3,27.34
MT,2012-Q4,27.48
MT,2013-Q1,27.9
MT,2013-Q2,27.99
MT,2013-Q3,27.77
MT,2013-Q4,27.9
MT,2014-Q1,28.41
MT,2014-Q2,29.01
MT,2014-Q3,29.55
MT,2014-Q4,30.19
MT,2015-Q1,30.75
MT,2015-Q2,31.16
MT,2015-Q3,31.15
MT,2015-Q4,31.43
MT,2016-Q1,32.49
MT,2016-Q2,32.93
MT,2016-Q3,33.06
MT,2016-Q4,33.42
MT,2017-Q1,33.54
MT,2017-Q2,33.31
MT,2017-Q3,33.16
MT,2017-Q4,32.92
MT,2018-Q1,32.87
MT,2018-Q2,32.31
MT,2018-Q3,32.13
MT,2018-Q4,31.96
MT,2019-Q1,31.58
MT,2019-Q2,31.24
MT,2019-Q3,31.29
MT,2019-Q4,31.15
MT,2020-Q1,31.04
MT,2020-Q2,30.52
MT,2020-Q3,30.26
MT,2020-Q4,30.07
MT,2021-Q1,30.14
MT,2021-Q2,30.15
MT,2021-Q3,30.28
MT,2021-Q4,30.35
MT,2022-Q1,30.41
MT,2022-Q2,30.32
MT,2022-Q3,30.39
MT,2022-Q4,30.48
MT,2023-Q1,30.73
MT,2023-Q2,30.93
MT,2023-Q3,31.44
MT,2023-Q4,31.65
NL,2014-Q4,46.46
NL,2015-Q1,46.23
NL,2015-Q2,45.74
NL,2015-Q3,45.25
NL,2015-Q4,44.47
NL,2016-Q1,43.49
NL,2016-Q2,42.33
NL,2016-Q3,41.07
NL,2016-Q4,40.02
NL,2017-Q1,39.87
NL,2017-Q2,39.49
NL,2017-Q3,39.07
NL,2017-Q4,38.62
NL,2018-Q1,38.09
NL,2018-Q2,37.61
NL,2018-Q3,37.17
NL,2018-Q4,36.44
NL,2019-Q1,35.83
NL,2019-Q2,35.28
NL,2019-Q3,34.75
NL,2019-Q4,34.35
NL,2020-Q1,33.74
NL,2020-Q2,33.44
NL,2020-Q3,33.13
NL,2020-Q4,33.09
NL,2021-Q1,33.35
NL,2021-Q2,33.27
NL,2021-Q3,33.03
NL,2021-Q4,33.06
NL,2022-Q1,32.35
NL,2022-Q2,31.87
NL,2022-Q3,31.77
NL,2022-Q4,31.95
NL,2023-Q1,32.25
NL,2023-Q2,32.71
NL,2023-Q3,32.84
NL,2023-Q4,32.78
PT,2010-Q2,45.44
PT,2010-Q3,45.54
PT,2010-Q4,45.44
PT,2011-Q1,45.35
PT,2011-Q2,45.44
PT,2011-Q3,45.3
PT,2011-Q4,45.44
PT,2012-Q1,45.66
PT,2012-Q2,45.95
PT,2012-Q3,46.3
PT,2012-Q4,46.4
PT,2013-Q1,46.68
PT,2013-Q2,46.61
PT,2013-Q3,46.89
PT,2013-Q4,47.02
PT,2014-Q1,47.12
PT,2014-Q2,47.19
PT,2014-Q3,47.31
PT,2014-Q4,47.25
PT,2015-Q1,47.73
PT,2015-Q2,47.4
PT,2015-Q3,47.52
PT,2015-Q4,47.68
PT,2016-Q1,47.57
PT,2016-Q2,47.43
PT,2016-Q3,47.65
PT,2016-Q4,47.8
PT,2017-Q1,47.98
PT,2017-Q2,48.14
PT,2017-Q3,48.26
PT,2017-Q4,48.21
PT,2018-Q1,47.72
PT,2018-Q2,47.37
PT,2018-Q3,47.28
PT,2018-Q4,46.82
PT,2019-Q1,46.52
PT,2019-Q2,46.15
PT,2019-Q3,45.9
PT,2019-Q4,45.69
PT,2020-Q1,45.04
PT,2020-Q2,44.85
PT,2020-Q3,44.84
PT,2020-Q4,44.66
PT,2021-Q1,44.58
PT,2021-Q2,44.47
PT,2021-Q3,44.4
PT,2021-Q4,44.42
PT,2022-Q1,44.17
PT,2022-Q2,43.88
PT,2022-Q3,43.76
PT,2022-Q4,43.89
PT,2023-Q1,44.22
PT,2023-Q2,44.3
PT,2023-Q3,44.45
PT,2023-Q4,44.73
SI,2010-Q4,34.08
SI,2011-Q1,33.86
SI,2011-Q2,33.86
SI,2011-Q3,34.27
SI,2011-Q4,34.62
SI,2012-Q1,35.14
SI,2012-Q2,34.9
SI,2012-Q3,35.34
SI,2012-Q4,35.71
SI,2013-Q1,35.82
SI,2013-Q2,35.93
SI,2013-Q3,36.78
SI,2013-Q4,36.85
SI,2014-Q1,37.17
SI,2014-Q2,37.56
SI,2014-Q3,37.42
SI,2014-Q4,37.29
SI,2015-Q1,37.58
SI,2015-Q2,37.53
SI,2015-Q3,38.01
SI,2015-Q4,38.27
SI,2016-Q1,38.48
SI,2016-Q2,38.62
SI,2016-Q3,39.03
SI,2016-Q4,39.37
SI,2017-Q1,39.73
SI,2017-Q2,39.9
SI,2017-Q3,40.53
SI,2017-Q4,40.42
SI,2018-Q1,40.15
SI,2018-Q2,39.96
SI,2018-Q3,39.32
SI,2018-Q4,39.33
SI,2019-Q1,39.17
SI,2019-Q2,38.92
SI,2019-Q3,38.78
SI,2019-Q4,38.78
SI,2020-Q1,38.35
SI,2020-Q2,38.13
SI,2020-Q3,37.99
SI,2020-Q4,37.77
SI,2021-Q1,37.77
SI,2021-Q2,37.64
SI,2021-Q3,38.08
SI,2021-Q4,38.32
SI,2022-Q1,38
SI,2022-Q2,37.78
SI,2022-Q3,37.72
SI,2022-Q4,37.76
SI,2023-Q1,37.9
SI,2023-Q2,37.94
SI,2023-Q3,38.07
SI,2023-Q4,38.11
SK,2010-Q3,37.94
SK,2010-Q4,37.76
SK,2011-Q1,37.51
SK,2011-Q2,37.18
SK,2011-Q3,36.81
SK,2011-Q4,36.24
SK,2012-Q1,36.01
SK,2012-Q2,35.83
SK,2012-Q3,35.68
SK,2012-Q4,35.6
SK,2013-Q1,35.36
SK,2013-Q2,35.2
SK,2013-Q3,35.18
SK,2013-Q4,35.11
SK,2014-Q1,35.11
SK,2014-Q2,35.35
SK,2014-Q3,35.62
SK,2014-Q4,35.97
SK,2015-Q1,36.51
SK,2015-Q2,37.04
SK,2015-Q3,37.49
SK,2015-Q4,38.11
SK,2016-Q1,38.54
SK,2016-Q2,39.12
SK,2016-Q3,39.71
SK,2016-Q4,40.35
SK,2017-Q1,41.15
SK,2017-Q2,40.83
SK,2017-Q3,40.82
SK,2017-Q4,40.74
SK,2018-Q1,40.39
SK,2018-Q2,40.11
SK,2018-Q3,40.19
SK,2018-Q4,39.6
SK,2019-Q1,39.33
SK,2019-Q2,39.18
SK,2019-Q3,39.26
SK,2019-Q4,38.89
SK,2020-Q1,38.3
SK,2020-Q2,38.11
SK,2020-Q3,37.81
SK,2020-Q4,37.62
SK,2021-Q1,37.03
SK,2021-Q2,36.77
SK,2021-Q3,36.37
SK,2021-Q4,36.34
SK,2022-Q1,35.61
SK,2022-Q2,35.06
SK,2022-Q3,34.97
SK,2022-Q4,35.13
SK,2023-Q1,35.09
SK,2023-Q2,35.5
SK,2023-Q3,35.8
SK,2023-Q4,36.22
